image,true_label,full_ai_probability,spatial_only_ai_probability,frequency_only_ai_probability,full_minus_spatial_only,full_minus_frequency_only,branch_disagreement,spatial_supports_ai,frequency_supports_ai,path
TEMP_TEST\0031 (6).jpg,REAL,0.025215793401002884,0.025328991934657097,0.5090314149856567,-0.00011319853365421295,-0.48381562158465385,0.48370242305099964,0,0,TEMP_TEST\REAL\0031 (6).jpg
TEMP_TEST\0033 (6).jpg,REAL,0.2708219289779663,0.2714196443557739,0.5084391236305237,-0.0005977153778076172,-0.23761719465255737,0.23701947927474976,0,0,TEMP_TEST\REAL\0033 (6).jpg
TEMP_TEST\0035 (3).jpg,REAL,0.7199389934539795,0.7181270122528076,0.5098735690116882,0.001811981201171875,0.21006542444229126,0.20825344324111938,1,0,TEMP_TEST\REAL\0035 (3).jpg
TEMP_TEST\0035.jpg,REAL,0.9112181663513184,0.9103756546974182,0.5092098116874695,0.0008425116539001465,0.4020083546638489,0.40116584300994873,1,0,TEMP_TEST\REAL\0035.jpg
TEMP_TEST\0037 (10).jpg,REAL,0.9614081382751465,0.9608488082885742,0.5110071897506714,0.0005593299865722656,0.4504009485244751,0.44984161853790283,1,0,TEMP_TEST\REAL\0037 (10).jpg
TEMP_TEST\0040 (10).jpg,REAL,0.302842915058136,0.3023321330547333,0.5099916458129883,0.00051078200340271,-0.2071487307548523,0.207659512758255,0,0,TEMP_TEST\REAL\0040 (10).jpg
TEMP_TEST\0040.jpg,REAL,0.8080101013183594,0.8068889379501343,0.508475661277771,0.0011211633682250977,0.2995344400405884,0.2984132766723633,1,0,TEMP_TEST\REAL\0040.jpg
TEMP_TEST\0049 (2).jpg,REAL,0.7846172451972961,0.7827406525611877,0.510144829750061,0.0018765926361083984,0.2744724154472351,0.2725958228111267,1,0,TEMP_TEST\REAL\0049 (2).jpg
TEMP_TEST\0049 (3).jpg,REAL,0.3577449917793274,0.3614841401576996,0.5061355829238892,-0.0037391483783721924,-0.14839059114456177,0.14465144276618958,0,0,TEMP_TEST\REAL\0049 (3).jpg
TEMP_TEST\0050.jpg,REAL,0.8343417644500732,0.8331787586212158,0.5089749693870544,0.0011630058288574219,0.3253667950630188,0.3242037892341614,1,0,TEMP_TEST\REAL\0050.jpg
TEMP_TEST\0055 (6).jpg,REAL,0.9290619492530823,0.9281983971595764,0.5087554454803467,0.0008635520935058594,0.4203065037727356,0.41944295167922974,1,0,TEMP_TEST\REAL\0055 (6).jpg
TEMP_TEST\0056 (4).jpg,REAL,0.9202738404273987,0.9196992516517639,0.5064151883125305,0.0005745887756347656,0.41385865211486816,0.4132840633392334,1,0,TEMP_TEST\REAL\0056 (4).jpg
TEMP_TEST\0058 (8).jpg,REAL,0.286893755197525,0.28649958968162537,0.5097153186798096,0.0003941655158996582,-0.22282156348228455,0.2232157289981842,0,0,TEMP_TEST\REAL\0058 (8).jpg
TEMP_TEST\0059 (8).jpg,REAL,0.7439606189727783,0.7416866421699524,0.5106956958770752,0.0022739768028259277,0.23326492309570312,0.2309909462928772,1,0,TEMP_TEST\REAL\0059 (8).jpg
TEMP_TEST\0060.jpg,REAL,0.9961038827896118,0.9960592985153198,0.5096386075019836,4.458427429199219e-05,0.4864652752876282,0.4864206910133362,1,0,TEMP_TEST\REAL\0060.jpg
TEMP_TEST\0061 (2).jpg,REAL,0.8647894263267517,0.8632461428642273,0.5106762647628784,0.001543283462524414,0.3541131615638733,0.3525698781013489,1,0,TEMP_TEST\REAL\0061 (2).jpg
TEMP_TEST\0061 (3).jpg,REAL,0.8397102355957031,0.837382972240448,0.5094524025917053,0.002327263355255127,0.3302578330039978,0.3279305696487427,1,0,TEMP_TEST\REAL\0061 (3).jpg
TEMP_TEST\0065 (2).jpg,REAL,0.9658905863761902,0.965485692024231,0.5095617771148682,0.0004048943519592285,0.456328809261322,0.4559239149093628,1,0,TEMP_TEST\REAL\0065 (2).jpg
TEMP_TEST\0066 (2).jpg,REAL,0.6323148608207703,0.6306877136230469,0.5105242729187012,0.0016271471977233887,0.12179058790206909,0.1201634407043457,1,0,TEMP_TEST\REAL\0066 (2).jpg
TEMP_TEST\0067 (2).jpg,REAL,0.9866607189178467,0.9864130020141602,0.5117618441581726,0.00024771690368652344,0.4748988747596741,0.47465115785598755,1,0,TEMP_TEST\REAL\0067 (2).jpg
TEMP_TEST\0067 (3).jpg,REAL,0.4142129719257355,0.41525307297706604,0.5087082386016846,-0.0010401010513305664,-0.0944952666759491,0.09345516562461853,0,0,TEMP_TEST\REAL\0067 (3).jpg
TEMP_TEST\0068 (3).jpg,REAL,0.5690370202064514,0.5687082409858704,0.5095177888870239,0.0003287792205810547,0.05951923131942749,0.059190452098846436,1,0,TEMP_TEST\REAL\0068 (3).jpg
TEMP_TEST\0068.jpg,REAL,0.9051553010940552,0.9041122794151306,0.5104161500930786,0.0010430216789245605,0.39473915100097656,0.393696129322052,1,0,TEMP_TEST\REAL\0068.jpg
TEMP_TEST\0070 (3).jpg,REAL,0.7754918932914734,0.7734450101852417,0.5095471143722534,0.0020468831062316895,0.26594477891921997,0.2638978958129883,1,0,TEMP_TEST\REAL\0070 (3).jpg
TEMP_TEST\0070 (9).jpg,REAL,0.035490721464157104,0.03518430516123772,0.5106343626976013,0.0003064163029193878,-0.4751436412334442,0.4754500575363636,0,0,TEMP_TEST\REAL\0070 (9).jpg
TEMP_TEST\0073 (8).jpg,REAL,0.888448178768158,0.8873604536056519,0.5102874636650085,0.0010877251625061035,0.3781607151031494,0.3770729899406433,1,0,TEMP_TEST\REAL\0073 (8).jpg
TEMP_TEST\0074.jpg,REAL,0.7059807777404785,0.7043247818946838,0.5094122886657715,0.0016559958457946777,0.19656848907470703,0.19491249322891235,1,0,TEMP_TEST\REAL\0074.jpg
TEMP_TEST\0075 (6).jpg,REAL,0.997619092464447,0.9975881576538086,0.5076543092727661,3.0934810638427734e-05,0.4899647831916809,0.4899338483810425,1,0,TEMP_TEST\REAL\0075 (6).jpg
TEMP_TEST\0077.jpg,REAL,0.8185274600982666,0.8163400292396545,0.5106253027915955,0.0021874308586120605,0.30790215730667114,0.3057147264480591,1,0,TEMP_TEST\REAL\0077.jpg
TEMP_TEST\0081 (6).jpg,REAL,0.7162722945213318,0.7139838933944702,0.5106539726257324,0.0022884011268615723,0.20561832189559937,0.2033299207687378,1,0,TEMP_TEST\REAL\0081 (6).jpg
TEMP_TEST\0082 (9).jpg,REAL,0.7181137204170227,0.7169552445411682,0.5087499618530273,0.0011584758758544922,0.20936375856399536,0.20820528268814087,1,0,TEMP_TEST\REAL\0082 (9).jpg
TEMP_TEST\0087.jpg,REAL,0.9932717680931091,0.9931662678718567,0.511264443397522,0.0001055002212524414,0.48200732469558716,0.4819018244743347,1,0,TEMP_TEST\REAL\0087.jpg
TEMP_TEST\0088 (3).jpg,REAL,0.8892711997032166,0.8881701231002808,0.5101408362388611,0.001101076602935791,0.37913036346435547,0.3780292868614197,1,0,TEMP_TEST\REAL\0088 (3).jpg
TEMP_TEST\0088 (4).jpg,REAL,0.7877539396286011,0.7866965532302856,0.509274959564209,0.0010573863983154297,0.2784789800643921,0.27742159366607666,1,0,TEMP_TEST\REAL\0088 (4).jpg
TEMP_TEST\0090 (7).jpg,REAL,0.6275579929351807,0.6272554993629456,0.5076301693916321,0.0003024935722351074,0.11992782354354858,0.11962532997131348,1,0,TEMP_TEST\REAL\0090 (7).jpg
TEMP_TEST\0091 (4).jpg,REAL,0.09599772095680237,0.09653572738170624,0.5095579028129578,-0.0005380064249038696,-0.4135601818561554,0.4130221754312515,0,0,TEMP_TEST\REAL\0091 (4).jpg
TEMP_TEST\0093.jpg,REAL,0.9855071306228638,0.9854030609130859,0.5080806612968445,0.00010406970977783203,0.4774264693260193,0.47732239961624146,1,0,TEMP_TEST\REAL\0093.jpg
TEMP_TEST\0097 (4).jpg,REAL,0.2546255886554718,0.25450432300567627,0.5099332928657532,0.00012126564979553223,-0.25530770421028137,0.2554289698600769,0,0,TEMP_TEST\REAL\0097 (4).jpg
TEMP_TEST\0097 (8).jpg,REAL,0.8137505054473877,0.812468409538269,0.510077178478241,0.0012820959091186523,0.30367332696914673,0.3023912310600281,1,0,TEMP_TEST\REAL\0097 (8).jpg
TEMP_TEST\0097.jpg,REAL,0.3594990372657776,0.358862042427063,0.5095484256744385,0.0006369948387145996,-0.1500493884086609,0.1506863832473755,0,0,TEMP_TEST\REAL\0097.jpg
TEMP_TEST\0098 (3).jpg,REAL,0.8360507488250732,0.8353831171989441,0.5084787011146545,0.0006676316261291504,0.3275720477104187,0.32690441608428955,1,0,TEMP_TEST\REAL\0098 (3).jpg
TEMP_TEST\0099 (2).jpg,REAL,0.8048780560493469,0.8032801747322083,0.509933352470398,0.0015978813171386719,0.294944703578949,0.2933468222618103,1,0,TEMP_TEST\REAL\0099 (2).jpg
TEMP_TEST\0099.jpg,REAL,0.9999711513519287,0.9999707937240601,0.5079184174537659,3.5762786865234375e-07,0.49205273389816284,0.4920523762702942,1,0,TEMP_TEST\REAL\0099.jpg
TEMP_TEST\0101 (10).jpg,REAL,0.41097673773765564,0.4108429551124573,0.510667622089386,0.00013378262519836426,-0.09969088435173035,0.09982466697692871,0,0,TEMP_TEST\REAL\0101 (10).jpg
TEMP_TEST\0102 (6).jpg,REAL,0.982528805732727,0.982315182685852,0.5096882581710815,0.000213623046875,0.4728405475616455,0.4726269245147705,1,0,TEMP_TEST\REAL\0102 (6).jpg
TEMP_TEST\0102.jpg,REAL,0.538079559803009,0.5388486981391907,0.5072926878929138,-0.0007691383361816406,0.030786871910095215,0.031556010246276855,0,0,TEMP_TEST\REAL\0102.jpg
TEMP_TEST\0103 (5).jpg,REAL,0.2418503314256668,0.2419426292181015,0.5088291168212891,-9.229779243469238e-05,-0.26697878539562225,0.26688648760318756,0,0,TEMP_TEST\REAL\0103 (5).jpg
TEMP_TEST\0105 (2).jpg,REAL,0.7127983570098877,0.711788535118103,0.5099382400512695,0.001009821891784668,0.20286011695861816,0.2018502950668335,1,0,TEMP_TEST\REAL\0105 (2).jpg
TEMP_TEST\0105 (3).jpg,REAL,0.8370910286903381,0.8357419967651367,0.5084550380706787,0.001349031925201416,0.3286359906196594,0.327286958694458,1,0,TEMP_TEST\REAL\0105 (3).jpg
TEMP_TEST\0105.jpg,REAL,0.4225946068763733,0.4227379858493805,0.5089219212532043,-0.00014337897300720215,-0.08632731437683105,0.08618393540382385,0,0,TEMP_TEST\REAL\0105.jpg
TEMP_TEST\0110 (3).jpg,REAL,0.9422962069511414,0.9418148994445801,0.5090824961662292,0.0004813075065612793,0.4332137107849121,0.43273240327835083,1,0,TEMP_TEST\REAL\0110 (3).jpg
TEMP_TEST\0111 (4).jpg,REAL,0.37029269337654114,0.37135499715805054,0.5084753036499023,-0.0010623037815093994,-0.1381826102733612,0.1371203064918518,0,0,TEMP_TEST\REAL\0111 (4).jpg
TEMP_TEST\0113 (7).jpg,REAL,0.917371392250061,0.9163805246353149,0.510578453540802,0.0009908676147460938,0.40679293870925903,0.40580207109451294,1,0,TEMP_TEST\REAL\0113 (7).jpg
TEMP_TEST\0114 (4).jpg,REAL,0.09142641723155975,0.09223391860723495,0.5070260763168335,-0.0008075013756752014,-0.41559965908527374,0.41479215770959854,0,0,TEMP_TEST\REAL\0114 (4).jpg
TEMP_TEST\0118 (3).jpg,REAL,0.6180928349494934,0.617487907409668,0.5090804100036621,0.0006049275398254395,0.1090124249458313,0.10840749740600586,1,0,TEMP_TEST\REAL\0118 (3).jpg
TEMP_TEST\0119 (5).jpg,REAL,0.8074780106544495,0.8056744337081909,0.5106261372566223,0.001803576946258545,0.29685187339782715,0.2950482964515686,1,0,TEMP_TEST\REAL\0119 (5).jpg
TEMP_TEST\0122 (2).jpg,REAL,0.03605175018310547,0.035971347242593765,0.5102546215057373,8.040294051170349e-05,-0.47420287132263184,0.47428327426314354,0,0,TEMP_TEST\REAL\0122 (2).jpg
TEMP_TEST\0122 (6).jpg,REAL,0.7857416272163391,0.7851224541664124,0.5077067017555237,0.0006191730499267578,0.27803492546081543,0.27741575241088867,1,0,TEMP_TEST\REAL\0122 (6).jpg
TEMP_TEST\0122 (8).jpg,REAL,0.4218953549861908,0.42035534977912903,0.5099760293960571,0.0015400052070617676,-0.08808067440986633,0.0896206796169281,0,0,TEMP_TEST\REAL\0122 (8).jpg
TEMP_TEST\0125 (2).jpg,REAL,0.9700772166252136,0.9696528911590576,0.5106142163276672,0.00042432546615600586,0.4594630002975464,0.4590386748313904,1,0,TEMP_TEST\REAL\0125 (2).jpg
TEMP_TEST\0126 (3).jpg,REAL,0.8666329383850098,0.8654085993766785,0.5082412958145142,0.0012243390083312988,0.3583916425704956,0.3571673035621643,1,0,TEMP_TEST\REAL\0126 (3).jpg
TEMP_TEST\0129 (10).jpg,REAL,0.8189183473587036,0.8171612620353699,0.5102105140686035,0.0017570853233337402,0.3087078332901001,0.30695074796676636,1,0,TEMP_TEST\REAL\0129 (10).jpg
TEMP_TEST\0131 (2).jpg,REAL,0.988384485244751,0.988219141960144,0.5101074576377869,0.0001653432846069336,0.4782770276069641,0.4781116843223572,1,0,TEMP_TEST\REAL\0131 (2).jpg
TEMP_TEST\0133 (4).jpg,REAL,0.736734926700592,0.7367170453071594,0.5059854388237,1.7881393432617188e-05,0.2307494878768921,0.23073160648345947,1,0,TEMP_TEST\REAL\0133 (4).jpg
TEMP_TEST\0134 (2).jpg,REAL,0.3683411180973053,0.36745184659957886,0.5107085108757019,0.0008892714977264404,-0.1423673927783966,0.14325666427612305,0,0,TEMP_TEST\REAL\0134 (2).jpg
TEMP_TEST\0135 (10).jpg,REAL,0.9107632637023926,0.909803032875061,0.5086591839790344,0.000960230827331543,0.40210407972335815,0.4011438488960266,1,0,TEMP_TEST\REAL\0135 (10).jpg
TEMP_TEST\0138.jpg,REAL,0.8709625601768494,0.8693452477455139,0.5102000832557678,0.0016173124313354492,0.36076247692108154,0.3591451644897461,1,0,TEMP_TEST\REAL\0138.jpg
TEMP_TEST\0139 (3).jpg,REAL,0.5956123471260071,0.5985801815986633,0.507663905620575,-0.00296783447265625,0.08794844150543213,0.09091627597808838,1,0,TEMP_TEST\REAL\0139 (3).jpg
TEMP_TEST\0139 (6).jpg,REAL,0.9121941924095154,0.9112197756767273,0.5089113116264343,0.0009744167327880859,0.40328288078308105,0.40230846405029297,1,0,TEMP_TEST\REAL\0139 (6).jpg
TEMP_TEST\0140 (3).jpg,REAL,0.9186347723007202,0.9173831939697266,0.5107876658439636,0.0012515783309936523,0.4078471064567566,0.40659552812576294,1,0,TEMP_TEST\REAL\0140 (3).jpg
TEMP_TEST\0141.jpg,REAL,0.9050586819648743,0.9043129086494446,0.5093986392021179,0.0007457733154296875,0.39566004276275635,0.39491426944732666,1,0,TEMP_TEST\REAL\0141.jpg
TEMP_TEST\0144 (4).jpg,REAL,0.9142961502075195,0.913296103477478,0.5094753503799438,0.001000046730041504,0.4048207998275757,0.4038207530975342,1,0,TEMP_TEST\REAL\0144 (4).jpg
TEMP_TEST\0150 (9).jpg,REAL,0.3418060839176178,0.3417500853538513,0.508901059627533,5.599856376647949e-05,-0.16709497570991516,0.16715097427368164,0,0,TEMP_TEST\REAL\0150 (9).jpg
TEMP_TEST\0150.jpg,REAL,0.1635304093360901,0.16347140073776245,0.5097494125366211,5.900859832763672e-05,-0.346219003200531,0.34627801179885864,0,0,TEMP_TEST\REAL\0150.jpg
TEMP_TEST\0152 (8).jpg,REAL,0.8837503790855408,0.8825244903564453,0.5100297927856445,0.001225888729095459,0.37372058629989624,0.3724946975708008,1,0,TEMP_TEST\REAL\0152 (8).jpg
TEMP_TEST\0164 (2).jpg,REAL,0.9747289419174194,0.9742539525032043,0.5114976763725281,0.0004749894142150879,0.46323126554489136,0.46275627613067627,1,0,TEMP_TEST\REAL\0164 (2).jpg
TEMP_TEST\0164 (4).jpg,REAL,0.5322266817092896,0.5360987186431885,0.5079550743103027,-0.0038720369338989258,0.024271607398986816,0.028143644332885742,0,0,TEMP_TEST\REAL\0164 (4).jpg
TEMP_TEST\0165 (2).jpg,REAL,0.7083140015602112,0.7049520611763,0.5117674469947815,0.003361940383911133,0.1965465545654297,0.19318461418151855,1,0,TEMP_TEST\REAL\0165 (2).jpg
TEMP_TEST\0167 (3).jpg,REAL,0.5764929056167603,0.5777146816253662,0.5073994994163513,-0.001221776008605957,0.06909340620040894,0.07031518220901489,1,0,TEMP_TEST\REAL\0167 (3).jpg
TEMP_TEST\0168 (10).jpg,REAL,0.9425121545791626,0.9418402910232544,0.5102613568305969,0.0006718635559082031,0.4322507977485657,0.43157893419265747,1,0,TEMP_TEST\REAL\0168 (10).jpg
TEMP_TEST\0168 (5).jpg,REAL,0.7356899976730347,0.7335566878318787,0.5104245543479919,0.002133309841156006,0.22526544332504272,0.22313213348388672,1,0,TEMP_TEST\REAL\0168 (5).jpg
TEMP_TEST\0170 (8).jpg,REAL,0.4215985834598541,0.4219140410423279,0.5088006258010864,-0.0003154575824737549,-0.0872020423412323,0.08688658475875854,0,0,TEMP_TEST\REAL\0170 (8).jpg
TEMP_TEST\0171.jpg,REAL,0.13267140090465546,0.13203702867031097,0.5103403925895691,0.0006343722343444824,-0.37766899168491364,0.3783033639192581,0,0,TEMP_TEST\REAL\0171.jpg
TEMP_TEST\0174 (2).jpg,REAL,0.8389590978622437,0.8375844955444336,0.5095748901367188,0.0013746023178100586,0.3293842077255249,0.32800960540771484,1,0,TEMP_TEST\REAL\0174 (2).jpg
TEMP_TEST\0174 (6).jpg,REAL,0.026023859158158302,0.025876464322209358,0.5101182460784912,0.0001473948359489441,-0.4840943869203329,0.48424178175628185,0,0,TEMP_TEST\REAL\0174 (6).jpg
TEMP_TEST\0174.jpg,REAL,0.2027309238910675,0.20398156344890594,0.5065976977348328,-0.00125063955783844,-0.30386677384376526,0.3026161342859268,0,0,TEMP_TEST\REAL\0174.jpg
TEMP_TEST\0175 (3).jpg,REAL,0.7460660338401794,0.7448714375495911,0.5090342164039612,0.001194596290588379,0.23703181743621826,0.23583722114562988,1,0,TEMP_TEST\REAL\0175 (3).jpg
TEMP_TEST\0175 (9).jpg,REAL,0.15685679018497467,0.1571853756904602,0.5084097385406494,-0.00032858550548553467,-0.35155294835567474,0.3512243628501892,0,0,TEMP_TEST\REAL\0175 (9).jpg
TEMP_TEST\0176 (2).jpg,REAL,0.8569909334182739,0.8551741242408752,0.5100812315940857,0.0018168091773986816,0.34690970182418823,0.34509289264678955,1,0,TEMP_TEST\REAL\0176 (2).jpg
TEMP_TEST\0176 (3).jpg,REAL,0.4656696319580078,0.466044545173645,0.507723331451416,-0.00037491321563720703,-0.0420536994934082,0.041678786277770996,0,0,TEMP_TEST\REAL\0176 (3).jpg
TEMP_TEST\0176.jpg,REAL,0.5687649846076965,0.5697128176689148,0.5082945823669434,-0.0009478330612182617,0.060470402240753174,0.061418235301971436,1,0,TEMP_TEST\REAL\0176.jpg
TEMP_TEST\0178 (10).jpg,REAL,0.9152736067771912,0.9143941402435303,0.5097391605377197,0.0008794665336608887,0.40553444623947144,0.40465497970581055,1,0,TEMP_TEST\REAL\0178 (10).jpg
TEMP_TEST\0178 (7).jpg,REAL,0.4264395236968994,0.4257334768772125,0.5107292532920837,0.0007060468196868896,-0.08428972959518433,0.08499577641487122,0,0,TEMP_TEST\REAL\0178 (7).jpg
TEMP_TEST\0179 (4).jpg,REAL,0.9009077548980713,0.8999197483062744,0.510412871837616,0.000988006591796875,0.3904948830604553,0.38950687646865845,1,0,TEMP_TEST\REAL\0179 (4).jpg
TEMP_TEST\0183 (9).jpg,REAL,0.8219057321548462,0.8202228546142578,0.5105413198471069,0.001682877540588379,0.31136441230773926,0.3096815347671509,1,0,TEMP_TEST\REAL\0183 (9).jpg
TEMP_TEST\0183.jpg,REAL,0.9227167367935181,0.9217430353164673,0.5091144442558289,0.0009737014770507812,0.4136022925376892,0.4126285910606384,1,0,TEMP_TEST\REAL\0183.jpg
TEMP_TEST\0184 (2).jpg,REAL,0.43001142144203186,0.42925915122032166,0.5107219815254211,0.0007522702217102051,-0.08071056008338928,0.08146283030509949,0,0,TEMP_TEST\REAL\0184 (2).jpg
TEMP_TEST\0184 (9).jpg,REAL,0.8852745294570923,0.8843492269515991,0.5091608762741089,0.0009253025054931641,0.3761136531829834,0.37518835067749023,1,0,TEMP_TEST\REAL\0184 (9).jpg
TEMP_TEST\0185 (8).jpg,REAL,0.6654708981513977,0.6635266542434692,0.5098785758018494,0.0019442439079284668,0.15559232234954834,0.15364807844161987,1,0,TEMP_TEST\REAL\0185 (8).jpg
TEMP_TEST\0185.jpg,REAL,0.6604989767074585,0.657947301864624,0.5100643038749695,0.0025516748428344727,0.150434672832489,0.14788299798965454,1,0,TEMP_TEST\REAL\0185.jpg
TEMP_TEST\0186 (4).jpg,REAL,0.6592365503311157,0.660323977470398,0.5072841644287109,-0.0010874271392822266,0.15195238590240479,0.153039813041687,1,0,TEMP_TEST\REAL\0186 (4).jpg
TEMP_TEST\0191 (6).jpg,REAL,0.2003452479839325,0.20124341547489166,0.5084593296051025,-0.0008981674909591675,-0.30811408162117004,0.3072159141302109,0,0,TEMP_TEST\REAL\0191 (6).jpg
TEMP_TEST\0192 (3).jpg,REAL,0.8182088136672974,0.8170932531356812,0.5091041326522827,0.001115560531616211,0.30910468101501465,0.30798912048339844,1,0,TEMP_TEST\REAL\0192 (3).jpg
TEMP_TEST\0196.jpg,REAL,0.01604071818292141,0.015977635979652405,0.5093737840652466,6.308220326900482e-05,-0.4933330658823252,0.4933961480855942,0,0,TEMP_TEST\REAL\0196.jpg
TEMP_TEST\0202 (9).jpg,REAL,0.8462027311325073,0.8450591564178467,0.5095342993736267,0.0011435747146606445,0.3366684317588806,0.33552485704421997,1,0,TEMP_TEST\REAL\0202 (9).jpg
TEMP_TEST\0203 (2).jpg,REAL,0.7172163724899292,0.715084969997406,0.5100406408309937,0.0021314024925231934,0.20717573165893555,0.20504432916641235,1,0,TEMP_TEST\REAL\0203 (2).jpg
TEMP_TEST\0203 (9).jpg,REAL,0.8760689496994019,0.8747458457946777,0.509580135345459,0.001323103904724121,0.36648881435394287,0.36516571044921875,1,0,TEMP_TEST\REAL\0203 (9).jpg
TEMP_TEST\0204.jpg,REAL,0.07004458457231522,0.07033252716064453,0.5086989402770996,-0.0002879425883293152,-0.4386543557047844,0.4383664131164551,0,0,TEMP_TEST\REAL\0204.jpg
TEMP_TEST\0207 (10).jpg,REAL,0.9804865717887878,0.9802480340003967,0.5093819499015808,0.00023853778839111328,0.47110462188720703,0.4708660840988159,1,0,TEMP_TEST\REAL\0207 (10).jpg
TEMP_TEST\0210 (3).jpg,REAL,0.8241007328033447,0.8234297037124634,0.5082919001579285,0.0006710290908813477,0.31580883264541626,0.3151378035545349,1,0,TEMP_TEST\REAL\0210 (3).jpg
TEMP_TEST\0211 (4).jpg,REAL,0.5321640372276306,0.5352748036384583,0.5067269206047058,-0.0031107664108276367,0.025437116622924805,0.02854788303375244,0,0,TEMP_TEST\REAL\0211 (4).jpg
TEMP_TEST\0211 (6).jpg,REAL,0.18791507184505463,0.18901662528514862,0.5078218579292297,-0.0011015534400939941,-0.3199067860841751,0.3188052326440811,0,0,TEMP_TEST\REAL\0211 (6).jpg
TEMP_TEST\0215.jpg,REAL,0.8811975717544556,0.8809382915496826,0.5075404644012451,0.0002592802047729492,0.37365710735321045,0.3733978271484375,1,0,TEMP_TEST\REAL\0215.jpg
TEMP_TEST\0216 (10).jpg,REAL,0.6842818260192871,0.6826868057250977,0.5093085765838623,0.0015950202941894531,0.1749732494354248,0.17337822914123535,1,0,TEMP_TEST\REAL\0216 (10).jpg
TEMP_TEST\0216.jpg,REAL,0.5628730058670044,0.5618662238121033,0.5099371075630188,0.001006782054901123,0.052935898303985596,0.05192911624908447,1,0,TEMP_TEST\REAL\0216.jpg
TEMP_TEST\0217 (2).jpg,REAL,0.1740492284297943,0.17311625182628632,0.5107930302619934,0.0009329766035079956,-0.3367438018321991,0.3376767784357071,0,0,TEMP_TEST\REAL\0217 (2).jpg
